"URI - All"
"Address","Content","Status Code","Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://gatorford.com/vehicle-info/2018-ford-super-duty-f-250-srw-1ft7w2bt7jeb05008","text/html; charset=utf-8","200","OK","b70f645dad5e0bb17ab6118ddde49a9c","83","https://www.gatorford.com/","https://gatorford.com/vehicle-info/2018-ford-super-duty-f-250-srw-1ft7w2bt7jeb05008"
"https://gatorford.com/vcp/used/ford/f-150","text/html; charset=utf-8","200","OK","87a61de59b543a23be9b521842f46d92","41","https://gatorford.com/vcp/used/ford/f-150","https://gatorford.com/vcp/used/ford/f-150"
"https://gatorford.com/sync-quick-guide","text/html; charset=utf-8","200","OK","3536fa2ada7484b282a6666cf131f1c","38","https://www.gatorford.com/sync-quick-guide","https://gatorford.com/sync-quick-guide"
"https://gatorford.com/account/login","text/html; charset=utf-8","200","OK","ebfe71f794d435a96a76259332d73879","35","https://www.gatorford.com/account/login","https://gatorford.com/account/login"
"https://gatorford.com/finance/axzd-plans","text/html; charset=utf-8","200","OK","a24be38b8570e419180b3194751d4884","40","https://www.gatorford.com/finance/axzd-plans","https://gatorford.com/finance/axzd-plans"
"https://gatorford.com/vehicle-department-special/used-certified/special","text/html; charset=utf-8","200","OK","c4f69ef62f36dc6f2076ac2aefce96a5","71","https://www.gatorford.com/","https://gatorford.com/vehicle-department-special/used-certified/special"
"https://gatorford.com/service/appointment","text/html; charset=utf-8","200","OK","f276d1c9f71773374e4022a887c0bff7","41","https://www.gatorford.com/service/appointment","https://gatorford.com/service/appointment"
"https://gatorford.com/vcp/new/ford/e-series-cutaway","text/html; charset=utf-8","200","OK","455b34401ebcfe6fc1014b3e49b1db6e","51","https://gatorford.com/vcp/new/ford/e-series-cutaway","https://gatorford.com/vcp/new/ford/e-series-cutaway"
"https://gatorford.com/commercial-fleet/all-inventory/commercial-van?keywords=cutwy&sort=2","text/html; charset=utf-8","200","OK","56ceb8811746b8d785a8026a11e1b4fd","89","https://www.gatorford.com/commercial-fleet/new/commercial-truck","https://gatorford.com/commercial-fleet/all-inventory/commercial-van?keywords=cutwy&sort=2"
"https://gatorford.com/new?keywords=cargo&sort=2","text/html; charset=utf-8","200","OK","afe56ef78b07f9ff6a359a6f5df77e71","47","https://www.gatorford.com/new","https://gatorford.com/new?keywords=cargo&sort=2"
"https://gatorford.com/bundles/common?v=YWWdfwaotgQ3_sExo1qw96vwdxmcrK6kjJ4jAV8yvgk1","text/javascript; charset=utf-8","200","OK","","83","","https://gatorford.com/bundles/common?v=YWWdfwaotgQ3_sExo1qw96vwdxmcrK6kjJ4jAV8yvgk1"
"https://gatorford.com/vehicle-info/2013-mitsubishi-fuso-jl6bnk1a1dk001110","text/html; charset=utf-8","200","OK","4430765e4834815c530cb7c2c613778a","73","https://www.gatorford.com/","https://gatorford.com/vehicle-info/2013-mitsubishi-fuso-jl6bnk1a1dk001110"
"https://gatorford.com/dealership-info/staff","text/html; charset=utf-8","200","OK","a11c12c3a70c27ba52a5eeb78e58e140","43","https://www.gatorford.com/dealership-info/staff","https://gatorford.com/dealership-info/staff"
"https://gatorford.com/finance/car-loan","text/html; charset=utf-8","200","OK","3f40f9f71536a483a25440928fb3f6d8","38","https://www.gatorford.com/finance/car-loan","https://gatorford.com/finance/car-loan"
"https://gatorford.com/content/research/blog-post","text/html; charset=utf-8","301","Moved Permanently","","48","","https://gatorford.com/content/research/blog-post"
"https://gatorford.com/vehicle-info/2019-ford-super-duty-f-250-srw-1ft7w2bt0kec28389","text/html; charset=utf-8","200","OK","35e2a87b3f278caf6145a8b61ba33dc6","83","https://www.gatorford.com/","https://gatorford.com/vehicle-info/2019-ford-super-duty-f-250-srw-1ft7w2bt0kec28389"
"https://gatorford.com/commercial-fleet/all-inventory/commercial-truck-van-other","text/html; charset=utf-8","200","OK","8fe032936e4ca2e8c1e0355ac727f6a0","79","https://www.gatorford.com/commercial-fleet/new/commercial-truck","https://gatorford.com/commercial-fleet/all-inventory/commercial-truck-van-other"
"https://gatorford.com/commercial-fleet/all-inventory/commercial-truck-van?keywords=dump&sort=2","text/html; charset=utf-8","200","OK","b4a7d30f2886d92d02ba445acc1d6a6e","94","https://www.gatorford.com/commercial-fleet/new/commercial-truck","https://gatorford.com/commercial-fleet/all-inventory/commercial-truck-van?keywords=dump&sort=2"
"https://gatorford.com/content/commercial-fleet/ford-transit-commercial","text/html; charset=utf-8","200","OK","33dda217e5a6c625abb552e06483739a","70","https://www.gatorford.com/content/commercial-fleet/ford-transit-commercial","https://gatorford.com/content/commercial-fleet/ford-transit-commercial"
"https://gatorford.com/used","text/html; charset=utf-8","200","OK","c122c37d36d71847bad0013d82cad98f","26","https://www.gatorford.com/used","https://gatorford.com/used"
"https://gatorford.com/content/research/new-models","text/html; charset=utf-8","301","Moved Permanently","","49","","https://gatorford.com/content/research/new-models"
"https://gatorford.com/service/parts","text/html; charset=utf-8","200","OK","963c8d807d7926d7ec1832eadbe89f8d","35","https://www.gatorford.com/","https://gatorford.com/service/parts"
"https://gatorford.com/bundles/WebFormsJs?v=FSI9mGjw2i5JaOMs-J-riZQMTGVIl62GYV5dy7594pk1","text/javascript; charset=utf-8","200","OK","","87","","https://gatorford.com/bundles/WebFormsJs?v=FSI9mGjw2i5JaOMs-J-riZQMTGVIl62GYV5dy7594pk1"
"https://gatorford.com/service","text/html; charset=utf-8","200","OK","5d59131060e2a8baae8f046260d01574","29","https://www.gatorford.com/service","https://gatorford.com/service"
"https://gatorford.com/vehicle-info/2017-ford-edge-2fmpk4ap7hbb34652","text/html; charset=utf-8","200","OK","247f8ab70dc229e8d975bef6923b64c1","67","https://www.gatorford.com/","https://gatorford.com/vehicle-info/2017-ford-edge-2fmpk4ap7hbb34652"
"https://gatorford.com/vcp/new/ford/explorer","text/html; charset=utf-8","200","OK","256e9985bf9ed1752c466775a257663a","43","https://gatorford.com/vcp/new/ford/explorer","https://gatorford.com/vcp/new/ford/explorer"
"https://gatorford.com/vcp/new/ford/f-650-super-duty","text/html; charset=utf-8","200","OK","c6dfadccd5bee5c8eb0f4727e015b112","51","https://gatorford.com/vcp/new/ford/f-650-super-duty","https://gatorford.com/vcp/new/ford/f-650-super-duty"
"https://gatorford.com/vcp/new/ford/f-250-super-duty","text/html; charset=utf-8","200","OK","9d9a6c78f6d5e7febe088efbe1ffffe9","51","https://gatorford.com/vcp/new/ford/f-250-super-duty","https://gatorford.com/vcp/new/ford/f-250-super-duty"
"https://gatorford.com/new?keywords=wagon&sort=2","text/html; charset=utf-8","200","OK","60606004c54b71b561e2207ee04a1273","47","https://www.gatorford.com/new","https://gatorford.com/new?keywords=wagon&sort=2"
"https://gatorford.com/content/research/comparison","text/html; charset=utf-8","301","Moved Permanently","","49","","https://gatorford.com/content/research/comparison"
"https://www.gatorford.com/","text/html; charset=utf-8","200","OK","df97a6c983c28376a7d1cd6512b20f91","26","https://www.gatorford.com/","https://www.gatorford.com/"
"https://gatorford.com/content/research","text/html; charset=utf-8","301","Moved Permanently","","38","","https://gatorford.com/content/research"
"https://gatorford.com/service/specials","text/html; charset=utf-8","200","OK","8a815fd63982e54a9a22ca4ea0e633ca","38","https://www.gatorford.com/service/specials","https://gatorford.com/service/specials"
"https://gatorford.com/vehicle-department-lifted/new/lifted/truck","text/html; charset=utf-8","200","OK","36d89af5711e4346df5fea1c936d0ae1","64","https://www.gatorford.com/","https://gatorford.com/vehicle-department-lifted/new/lifted/truck"
"https://gatorford.com/vcp/new/ford/expedition-max","text/html; charset=utf-8","200","OK","9e267119f4de895e9b84495609ff88cf","49","https://gatorford.com/vcp/new/ford/expedition-max","https://gatorford.com/vcp/new/ford/expedition-max"
"https://gatorford.com/Content/Images/googleplus.png","image/png","200","OK","","51","","https://gatorford.com/Content/Images/googleplus.png"
"https://gatorford.com/paymentcalculator","text/html; charset=utf-8","200","OK","2d82b2ac010950c356dfd57f11f6f5cb","39","https://www.gatorford.com/paymentcalculator","https://gatorford.com/paymentcalculator"
"https://gatorford.com/new?keywords=connect&sort=2","text/html; charset=utf-8","200","OK","6d782b7f640ddf17aa82d4a2b4ab07c7","49","https://www.gatorford.com/new","https://gatorford.com/new?keywords=connect&sort=2"
"https://gatorford.com/vehicle-department-lifted/used-certified/lifted/truck","text/html; charset=utf-8","200","OK","52076af45dcd1f5e12301b2c42e6264f","75","https://www.gatorford.com/","https://gatorford.com/vehicle-department-lifted/used-certified/lifted/truck"
"https://gatorford.com/vehicle-info/2018-ford-f-150-1ftfw1rg9jfd93929","text/html; charset=utf-8","200","OK","941edd9f934dfe9695b613c22333526c","68","https://www.gatorford.com/","https://gatorford.com/vehicle-info/2018-ford-f-150-1ftfw1rg9jfd93929"
"https://gatorford.com/vehicle-department/used-certified/van","text/html; charset=utf-8","200","OK","fa408fe0a1f5922d179e58f3f473b382","59","https://www.gatorford.com/vehicle-department/used-certified/van","https://gatorford.com/vehicle-department/used-certified/van"
"https://gatorford.com/Content/Images/logoGaford.png","image/png","200","OK","","51","","https://gatorford.com/Content/Images/logoGaford.png"
"https://gatorford.com/vehicle-info/2018-ford-f-150-1ftew1eg7jfb51898","text/html; charset=utf-8","200","OK","ea511b79d4cade4e91dd189399ba9d1a","68","https://www.gatorford.com/","https://gatorford.com/vehicle-info/2018-ford-f-150-1ftew1eg7jfb51898"
"https://gatorford.com/dealership-info","text/html; charset=utf-8","301","Moved Permanently","","37","","https://gatorford.com/dealership-info"
"https://gatorford.com/commercial-fleet/all-inventory/commercial-truck-van?keywords=utility&sort=2","text/html; charset=utf-8","200","OK","59cd746052b7c7f5dee7f65cff32c3","97","https://www.gatorford.com/commercial-fleet/new/commercial-truck","https://gatorford.com/commercial-fleet/all-inventory/commercial-truck-van?keywords=utility&sort=2"
"https://gatorford.com/commercial-fleet/all-inventory/commercial-truck-van-other?keywords=fuso&sort=2","text/html; charset=utf-8","200","OK","b7a6ea129162444e1a3fe5c95c5b7823","100","https://www.gatorford.com/commercial-fleet/new/commercial-truck","https://gatorford.com/commercial-fleet/all-inventory/commercial-truck-van-other?keywords=fuso&sort=2"
"https://gatorford.com/content/css?v=w35Qv6qgmX8QKksBQrM5INjC2o5KHvEoxLDjfRF9rH41","text/css; charset=utf-8","200","OK","","80","","https://gatorford.com/content/css?v=w35Qv6qgmX8QKksBQrM5INjC2o5KHvEoxLDjfRF9rH41"
"https://gatorford.com/vehicle-department/used-certified/truck","text/html; charset=utf-8","200","OK","c9ce27a72c9715a2dc4e5353fa984838","61","https://www.gatorford.com/vehicle-department/used-certified/truck","https://gatorford.com/vehicle-department/used-certified/truck"
"https://gatorford.com/finance","text/html; charset=utf-8","200","OK","651af908d1c9d264fe238b6048ccec2e","29","https://www.gatorford.com/finance","https://gatorford.com/finance"
"https://gatorford.com/privacy","text/html; charset=utf-8","200","OK","f29f62e0a5230a2900b0d9d6d5614375","29","https://www.gatorford.com/privacy","https://gatorford.com/privacy"
"https://gatorford.com/suv-department/new/crossover–suv","text/html; charset=utf-8","200","OK","aa1407ff96ab134e4087df119e0ea5d3","54","https://www.gatorford.com/suv-department/new/crossover–suv","https://gatorford.com/suv-department/new/crossover%E2%80%93suv"
"https://gatorford.com/vcp/new/ford/edge","text/html; charset=utf-8","200","OK","49488cd7427ec3e9bc727664ad9d6e78","39","https://gatorford.com/vcp/new/ford/edge","https://gatorford.com/vcp/new/ford/edge"
"https://gatorford.com/content/dealership-info","text/html; charset=utf-8","200","OK","2699579eb5a086d0f98e7060e7f02d7c","45","https://www.gatorford.com/content/dealership-info","https://gatorford.com/content/dealership-info"
"https://gatorford.com/vehicle-info/2017-ford-transit-passenger-wagon-1fmzk1yg7hka13736","text/html; charset=utf-8","200","OK","fb4e03deee5448a142346c4cec4a7678","86","https://www.gatorford.com/","https://gatorford.com/vehicle-info/2017-ford-transit-passenger-wagon-1fmzk1yg7hka13736"
"https://gatorford.com/service/motorhome-rv-service","text/html; charset=utf-8","200","OK","da69026d469ca391ea6c9dca1727895","50","https://www.gatorford.com/service/motorhome-rv-service","https://gatorford.com/service/motorhome-rv-service"
"https://gatorford.com/content/research/used-models","text/html; charset=utf-8","301","Moved Permanently","","50","","https://gatorford.com/content/research/used-models"
"https://gatorford.com/vcp/new/ford/f-550-super-duty","text/html; charset=utf-8","200","OK","fc0267f077283edc663b71bcfdf6f780","51","https://gatorford.com/vcp/new/ford/f-550-super-duty","https://gatorford.com/vcp/new/ford/f-550-super-duty"
"https://gatorford.com/Scripts/respond.min.js","application/x-javascript","200","OK","","44","","https://gatorford.com/Scripts/respond.min.js"
"https://gatorford.com/Content/Images/exit-sign.png","image/png","200","OK","","50","","https://gatorford.com/Content/Images/exit-sign.png"
"https://gatorford.com/vcp/new/ford/f-350-super-duty","text/html; charset=utf-8","200","OK","2bc9eec51ff413a5fcff1d3cf74f583c","51","https://gatorford.com/vcp/new/ford/f-350-super-duty","https://gatorford.com/vcp/new/ford/f-350-super-duty"
"https://gatorford.com/certified","text/html; charset=utf-8","200","OK","df9d782e812a4635445d3cd9c108be71","31","https://www.gatorford.com/","https://gatorford.com/certified"
"https://gatorford.com/commercial-fleet/all-inventory/commercial-truck-van?keywords=wagon&sort=2","text/html; charset=utf-8","200","OK","b5d822e23682adadef50f70ff5392359","95","https://www.gatorford.com/commercial-fleet/new/commercial-truck","https://gatorford.com/commercial-fleet/all-inventory/commercial-truck-van?keywords=wagon&sort=2"
"https://gatorford.com/commercial-fleet/ford-work-solutions","text/html; charset=utf-8","200","OK","846cbecfa9206ce16a57eee8820197d5","58","https://www.gatorford.com/commercial-fleet/ford-work-solutions","https://gatorford.com/commercial-fleet/ford-work-solutions"
